scraped_at,make,model,variant,display_name,title_text,url,price_sek,year,mileage_km,source,status
2026-07-05T20:22:35,Tesla,Model Y,Performance,Tesla Model Y Performance,Tesla Model Y,https://www.blocket.se/mobility/item/24562132,474900,2024,39890,market,active_or_seen
2026-07-05T20:22:38,Tesla,Model Y,Performance,Tesla Model Y Performance,Tesla Model Y,https://www.blocket.se/mobility/item/23932712,499000,2025,40820,market,active_or_seen
2026-07-05T20:22:40,Tesla,Model Y,Performance,Tesla Model Y Performance,Tesla Model Y,https://www.blocket.se/mobility/item/23536396,469000,2024,47900,market,active_or_seen
2026-07-05T20:22:43,Tesla,Model Y,Performance,Tesla Model Y Performance,Tesla Model Y,https://www.blocket.se/mobility/item/24246231,399800,2023,78750,market,active_or_seen
2026-07-05T20:22:46,Tesla,Model Y,Performance,Tesla Model Y Performance,Tesla Model Y,https://www.blocket.se/mobility/item/23679506,414800,2022,60060,market,active_or_seen
2026-07-05T20:22:48,Tesla,Model Y,Performance,Tesla Model Y Performance,Tesla Model Y,https://www.blocket.se/mobility/item/23414480,378900,2023,92210,market,active_or_seen
2026-07-05T20:22:51,Tesla,Model Y,Performance,Tesla Model Y Performance,Tesla Model Y,https://www.blocket.se/mobility/item/24314789,399800,2023,89170,market,active_or_seen
2026-07-05T20:22:54,Tesla,Model Y,Performance,Tesla Model Y Performance,Tesla Model Y,https://www.blocket.se/mobility/item/23492106,324900,2022,141940,market,active_or_seen
2026-07-05T20:22:57,Tesla,Model Y,Performance,Tesla Model Y Performance,Tesla Model Y,https://www.blocket.se/mobility/item/23901108,327400,2022,135000,market,active_or_seen
2026-07-05T20:22:59,Tesla,Model Y,Performance,Tesla Model Y Performance,Tesla Model Y,https://www.blocket.se/mobility/item/24523830,462990,2024,72330,market,active_or_seen
2026-07-05T20:23:02,Tesla,Model Y,Performance,Tesla Model Y Performance,Tesla Model Y,https://www.blocket.se/mobility/item/23800448,468900,2024,47900,market,active_or_seen
2026-07-05T20:23:05,Tesla,Model Y,Performance,Tesla Model Y Performance,Tesla Model Y,https://www.blocket.se/mobility/item/23773262,399700,2022,62330,market,active_or_seen
2026-07-05T20:23:08,Tesla,Model Y,Performance,Tesla Model Y Performance,Tesla Model Y,https://www.blocket.se/mobility/item/23651467,404800,2023,83020,market,active_or_seen
2026-07-05T20:23:11,Tesla,Model Y,Performance,Tesla Model Y Performance,Tesla Model Y,https://www.blocket.se/mobility/item/23615967,368900,2022,103990,market,active_or_seen
2026-07-05T20:23:13,Tesla,Model Y,Performance,Tesla Model Y Performance,Tesla Model Y,https://www.blocket.se/mobility/item/24512344,426990,2022,55870,market,active_or_seen
