scraped_at,make,model,variant,display_name,title_text,url,price_sek,year,mileage_km,source,status,price_rank,mileage_rank,year_rank,deal_score
2026-07-09T01:27:18,Audi,RS e-tron GT,RS,Audi RS e-tron GT,Audi E-Tron,https://www.blocket.se/mobility/item/22493857,1099000,2024,4290,market,active_or_seen,1.0,1.0,1.0,1.0
2026-07-09T01:27:13,Audi,RS e-tron GT,RS,Audi RS e-tron GT,Audi E-Tron,https://www.blocket.se/mobility/item/21819590,749000,2023,43000,market,active_or_seen,1.0,1.0,2.0,1.2000000000000002
2026-07-09T01:27:05,Audi,RS e-tron GT,RS,Audi RS e-tron GT,Audi E-Tron,https://www.blocket.se/mobility/item/22384221,559900,2022,59800,market,active_or_seen,1.0,5.0,6.5,3.3
2026-07-09T01:27:24,Audi,RS e-tron GT,RS,Audi RS e-tron GT,Audi E-Tron,https://www.blocket.se/mobility/item/15085368,640000,2022,34000,market,active_or_seen,3.0,2.0,6.5,3.4000000000000004
2026-07-09T01:27:02,Audi,RS e-tron GT,RS,Audi RS e-tron GT,Audi E-Tron,https://www.blocket.se/mobility/item/24177442,599900,2022,94500,market,active_or_seen,2.0,8.0,6.5,4.7
2026-07-09T01:27:07,Audi,RS e-tron GT,RS,Audi RS e-tron GT,Audi E-Tron,https://www.blocket.se/mobility/item/22975481,699000,2022,58560,market,active_or_seen,5.5,4.0,6.5,5.25
2026-07-09T01:27:10,Audi,RS e-tron GT,RS,Audi RS e-tron GT,Audi E-Tron,https://www.blocket.se/mobility/item/19277176,679000,2022,88790,market,active_or_seen,4.0,7.0,6.5,5.3999999999999995
2026-07-09T01:27:21,Audi,RS e-tron GT,RS,Audi RS e-tron GT,Audi E-Tron,https://www.blocket.se/mobility/item/14673832,899000,2022,6100,market,active_or_seen,8.0,1.0,6.5,5.6
2026-07-09T01:27:27,Audi,RS e-tron GT,RS,Audi RS e-tron GT,Audi E-Tron,https://www.blocket.se/mobility/item/14373799,849900,2022,39950,market,active_or_seen,7.0,3.0,6.5,5.7
2026-07-09T01:27:16,Audi,RS e-tron GT,RS,Audi RS e-tron GT,Audi E-Tron,https://www.blocket.se/mobility/item/14101937,699000,2022,66000,market,active_or_seen,5.5,6.0,6.5,5.85
2026-07-09T01:26:01,Audi,e-tron GT,GT,Audi e-tron GT,Audi E-Tron,https://www.blocket.se/mobility/item/23268616,599900,2023,78390,market,active_or_seen,1.0,5.0,3.0,2.6
2026-07-09T01:26:15,Audi,e-tron GT,GT,Audi e-tron GT,Audi E-Tron,https://www.blocket.se/mobility/item/13358326,629000,2023,64010,market,active_or_seen,2.0,4.0,3.0,2.8000000000000003
2026-07-09T01:25:40,Audi,e-tron GT,GT,Audi e-tron GT,Audi E-Tron,https://www.blocket.se/mobility/item/24348069,669000,2023,22360,market,active_or_seen,4.0,1.0,3.0,2.9
2026-07-09T01:26:32,Audi,e-tron GT,GT,Audi e-tron GT,Audi E-Tron,https://www.blocket.se/mobility/item/20259037,629900,2023,56000,market,active_or_seen,3.0,3.0,3.0,3.0
2026-07-09T01:25:56,Audi,e-tron GT,GT,Audi e-tron GT,Audi E-Tron,https://www.blocket.se/mobility/item/21819590,749000,2023,43000,market,active_or_seen,5.0,2.0,3.0,3.7
2026-07-09T01:25:10,Audi,e-tron GT,GT,Audi e-tron GT,Audi e-tron GT,https://www.blocket.se/mobility/item/23625305,500000,2022,68000,market,active_or_seen,2.0,10.5,16.0,7.3500000000000005
2026-07-09T01:25:26,Audi,e-tron GT,GT,Audi e-tron GT,Audi E-Tron,https://www.blocket.se/mobility/item/22384221,559900,2022,59800,market,active_or_seen,6.0,8.0,16.0,8.600000000000001
2026-07-09T01:26:56,Audi,e-tron GT,GT,Audi e-tron GT,Audi E-Tron,https://www.blocket.se/mobility/item/13732536,499900,2022,99800,market,active_or_seen,1.0,19.0,16.0,9.4
2026-07-09T01:25:31,Audi,e-tron GT,GT,Audi e-tron GT,Audi E-Tron,https://www.blocket.se/mobility/item/20815621,619800,2022,21770,market,active_or_seen,12.0,1.0,16.0,9.5
2026-07-09T01:25:12,Audi,e-tron GT,GT,Audi e-tron GT,Audi E-Tron,https://www.blocket.se/mobility/item/23633832,539900,2022,84020,market,active_or_seen,5.0,15.0,16.0,10.2
