scraped_at,model,variant,title_text,url,price_sek,year,mileage_km,source,status,price_rank,mileage_rank,year_rank,deal_score
2026-06-30T21:15:21,Tesla Model Y,Long Range,Tesla Model Y,https://www.blocket.se/mobility/item/23771811,489800,2025,48280,Blocket,active_or_seen,1.0,2.0,1.5,1.4000000000000001
2026-06-30T21:17:43,Tesla Model Y,Long Range,Tesla Model Y,https://www.blocket.se/mobility/item/24260789,609800,2025,44980,Blocket,active_or_seen,2.0,1.0,1.5,1.6
2026-06-30T21:15:47,Tesla Model Y,Long Range,Tesla Model Y,https://www.blocket.se/mobility/item/23936232,414900,2024,88240,Blocket,active_or_seen,1.0,2.0,3.5,1.8000000000000003
2026-06-30T21:15:00,Tesla Model Y,Long Range,Tesla Model Y,https://www.blocket.se/mobility/item/24297009,417900,2024,67120,Blocket,active_or_seen,2.0,1.0,3.5,2.0
2026-06-30T21:16:18,Tesla Model Y,Long Range,Tesla Model Y,https://www.blocket.se/mobility/item/23851606,334900,2023,134400,Blocket,active_or_seen,1.0,19.0,14.0,9.0
2026-06-30T21:14:39,Tesla Model Y,Long Range,Tesla Model Y,https://www.blocket.se/mobility/item/22822818,369500,2023,82040,Blocket,active_or_seen,6.0,11.0,14.0,9.1
2026-06-30T21:18:30,Tesla Model Y,Long Range,Tesla Model Y,https://www.blocket.se/mobility/item/20821560,339800,2023,132040,Blocket,active_or_seen,2.0,18.0,14.0,9.2
2026-06-30T21:17:59,Tesla Model Y,Long Range,Tesla Model Y,https://www.blocket.se/mobility/item/24259397,349700,2023,112740,Blocket,active_or_seen,3.0,17.0,14.0,9.4
2026-06-30T21:16:39,Tesla Model Y,Long Range,Tesla Model Y,https://www.blocket.se/mobility/item/24434124,358700,2023,98070,Blocket,active_or_seen,4.5,15.0,14.0,9.55
2026-06-30T21:15:10,Tesla Model Y,Long Range,Tesla Model Y,https://www.blocket.se/mobility/item/24444815,319800,2022,108480,Blocket,active_or_seen,2.0,9.0,30.0,9.7
